hour,day,weather,event,crowd_risk
14,Thursday,Rain,Concert,42
17,Thursday,Rain,Concert,74
19,Sunday,Clear,Concert,100
19,Monday,Rain,Concert,73
20,Friday,Rain,NoEvent,72
8,Friday,Cloudy,Sports,70
7,Wednesday,Rain,Sports,44
11,Saturday,Clear,NoEvent,79
13,Monday,Cloudy,NoEvent,64
1,Friday,Clear,Sports,68
1,Tuesday,Cloudy,Sports,57
2,Wednesday,Cloudy,Sports,67
18,Tuesday,Clear,NoEvent,78
1,Saturday,Clear,Festival,75
14,Sunday,Clear,Concert,85
3,Tuesday,Clear,Festival,50
17,Monday,Cloudy,Sports,74
16,Sunday,Rain,NoEvent,65
5,Friday,Clear,NoEvent,64
11,Thursday,Clear,Concert,69
16,Sunday,Cloudy,NoEvent,81
9,Tuesday,Cloudy,Sports,53
16,Monday,Cloudy,Sports,66
1,Sunday,Cloudy,Sports,86
16,Monday,Clear,Sports,66
11,Tuesday,Rain,NoEvent,57
10,Friday,Cloudy,Concert,54
8,Tuesday,Clear,Festival,65
4,Thursday,Cloudy,Sports,51
22,Thursday,Cloudy,Sports,63
7,Monday,Cloudy,Concert,51
12,Saturday,Clear,NoEvent,87
7,Sunday,Rain,Sports,64
4,Sunday,Cloudy,Concert,81
20,Monday,Clear,NoEvent,71
17,Tuesday,Cloudy,Concert,72
6,Sunday,Cloudy,Sports,89
2,Sunday,Cloudy,Sports,71
0,Wednesday,Clear,NoEvent,60
22,Tuesday,Rain,Sports,52
16,Tuesday,Cloudy,Sports,56
17,Tuesday,Clear,Festival,82
18,Friday,Clear,NoEvent,70
23,Saturday,Cloudy,Sports,74
2,Sunday,Cloudy,Festival,75
0,Thursday,Clear,Concert,62
4,Tuesday,Cloudy,Festival,68
11,Wednesday,Clear,Concert,64
13,Monday,Clear,NoEvent,64
22,Wednesday,Clear,Festival,56
21,Thursday,Cloudy,Sports,82
7,Monday,Rain,Sports,40
1,Thursday,Rain,Festival,45
16,Sunday,Rain,NoEvent,74
2,Tuesday,Cloudy,Festival,51
1,Friday,Rain,Concert,40
5,Tuesday,Cloudy,Festival,60
11,Sunday,Rain,Sports,77
12,Saturday,Cloudy,Festival,82
5,Thursday,Cloudy,Concert,65
14,Sunday,Clear,Sports,74
4,Thursday,Rain,Sports,44
0,Wednesday,Clear,Festival,66
10,Friday,Cloudy,Concert,61
16,Monday,Clear,Concert,51
19,Wednesday,Rain,Festival,60
7,Friday,Clear,Concert,68
1,Saturday,Clear,NoEvent,80
11,Sunday,Clear,NoEvent,77
3,Thursday,Rain,Sports,55
2,Monday,Clear,Concert,68
2,Thursday,Clear,Festival,58
19,Wednesday,Clear,Festival,81
4,Monday,Cloudy,Sports,60
8,Friday,Rain,NoEvent,58
17,Wednesday,Clear,NoEvent,76
13,Friday,Clear,Sports,67
4,Wednesday,Rain,Festival,46
12,Saturday,Rain,Sports,75
14,Saturday,Clear,NoEvent,73
11,Tuesday,Rain,Festival,51
5,Saturday,Rain,Concert,60
7,Thursday,Clear,Concert,59
18,Thursday,Clear,Festival,85
17,Sunday,Rain,NoEvent,95
7,Wednesday,Rain,Concert,49
20,Saturday,Cloudy,Concert,93
17,Saturday,Clear,Festival,98
0,Tuesday,Clear,Concert,56
21,Wednesday,Rain,Sports,74
8,Thursday,Clear,NoEvent,64
8,Monday,Rain,Concert,44
15,Thursday,Cloudy,Concert,56
2,Friday,Rain,NoEvent,42
23,Thursday,Rain,Concert,46
2,Tuesday,Cloudy,Concert,54
7,Sunday,Rain,NoEvent,72
2,Tuesday,Clear,NoEvent,53
4,Saturday,Cloudy,Concert,87
14,Thursday,Cloudy,Festival,67
21,Tuesday,Rain,Festival,67
13,Thursday,Rain,Festival,40
8,Friday,Rain,Festival,52
14,Wednesday,Cloudy,Concert,51
17,Tuesday,Cloudy,Sports,77
3,Friday,Rain,Concert,41
19,Thursday,Cloudy,Concert,83
10,Thursday,Rain,Festival,54
16,Monday,Cloudy,NoEvent,64
14,Sunday,Cloudy,Sports,80
20,Saturday,Clear,Festival,100
1,Sunday,Cloudy,Concert,75
21,Friday,Cloudy,Concert,77
11,Tuesday,Clear,Concert,67
18,Tuesday,Rain,Festival,73
16,Thursday,Cloudy,Concert,70
0,Saturday,Rain,Sports,73
23,Saturday,Cloudy,Concert,79
15,Sunday,Clear,Festival,75
20,Saturday,Clear,Sports,91
6,Monday,Clear,Festival,53
7,Saturday,Clear,Festival,71
14,Monday,Cloudy,Concert,59
9,Wednesday,Clear,Festival,70
10,Tuesday,Cloudy,NoEvent,52
23,Friday,Clear,Concert,70
0,Tuesday,Clear,Festival,70
17,Monday,Rain,Festival,68
10,Wednesday,Cloudy,NoEvent,70
11,Saturday,Clear,Festival,80
12,Monday,Clear,Festival,50
18,Sunday,Cloudy,Sports,93
19,Friday,Clear,Concert,71
20,Sunday,Rain,Sports,99
18,Sunday,Cloudy,Festival,92
18,Wednesday,Cloudy,Festival,81
10,Tuesday,Cloudy,Sports,68
2,Tuesday,Rain,NoEvent,41
11,Friday,Cloudy,Sports,59
6,Thursday,Cloudy,Concert,52
0,Tuesday,Rain,Festival,43
22,Tuesday,Rain,Sports,43
20,Sunday,Cloudy,Sports,100
16,Tuesday,Cloudy,Sports,52
6,Monday,Rain,NoEvent,56
13,Thursday,Clear,Sports,55
21,Friday,Rain,Sports,63
19,Saturday,Rain,Festival,94
23,Monday,Cloudy,Festival,68
7,Thursday,Clear,Concert,54
16,Wednesday,Clear,Concert,70
16,Thursday,Rain,Festival,44
10,Sunday,Rain,Concert,67
6,Wednesday,Clear,NoEvent,70
4,Sunday,Rain,Sports,71
19,Tuesday,Rain,Concert,73
21,Thursday,Clear,Festival,76
21,Monday,Cloudy,Festival,81
4,Sunday,Cloudy,Festival,75
2,Sunday,Rain,NoEvent,72
16,Saturday,Cloudy,Concert,74
11,Saturday,Rain,Concert,74
21,Tuesday,Rain,Sports,72
5,Monday,Clear,Festival,57
1,Saturday,Cloudy,Sports,87
13,Thursday,Rain,Sports,45
6,Wednesday,Clear,Sports,69
11,Thursday,Clear,Festival,55
2,Thursday,Cloudy,Sports,58
14,Friday,Clear,Festival,56
7,Friday,Rain,Festival,41
17,Sunday,Clear,Concert,100
13,Saturday,Clear,NoEvent,85
6,Monday,Rain,NoEvent,45
14,Thursday,Clear,Concert,52
22,Sunday,Cloudy,Festival,84
6,Sunday,Cloudy,Sports,87
10,Saturday,Clear,Sports,75
1,Saturday,Rain,NoEvent,78
20,Saturday,Clear,Sports,90
22,Thursday,Clear,Festival,65
5,Saturday,Cloudy,NoEvent,70
6,Wednesday,Rain,Concert,59
10,Friday,Cloudy,Festival,60
13,Monday,Clear,Sports,63
1,Sunday,Rain,NoEvent,68
9,Friday,Rain,Festival,47
12,Thursday,Clear,Concert,67
19,Saturday,Clear,Concert,95
12,Sunday,Rain,NoEvent,65
6,Thursday,Clear,NoEvent,51
9,Monday,Cloudy,Festival,62
19,Tuesday,Rain,Festival,67
3,Sunday,Rain,NoEvent,61
14,Sunday,Rain,Festival,78
13,Saturday,Rain,Sports,77
6,Friday,Rain,NoEvent,40
15,Wednesday,Cloudy,Festival,54
15,Saturday,Rain,Sports,66
14,Tuesday,Cloudy,NoEvent,51
13,Tuesday,Clear,Sports,70
6,Friday,Clear,Concert,64
23,Wednesday,Rain,NoEvent,53
15,Thursday,Clear,NoEvent,52
16,Tuesday,Rain,Sports,44
9,Thursday,Cloudy,Festival,57
14,Wednesday,Clear,Sports,70
7,Saturday,Cloudy,Festival,87
22,Thursday,Clear,Festival,66
12,Friday,Clear,Festival,51
13,Saturday,Rain,Concert,71
23,Thursday,Cloudy,Sports,70
16,Tuesday,Rain,Festival,40
12,Tuesday,Rain,Concert,42
21,Wednesday,Rain,Sports,77
3,Saturday,Clear,Sports,85
18,Saturday,Rain,NoEvent,92
12,Tuesday,Rain,NoEvent,50
8,Monday,Clear,Festival,50
18,Tuesday,Rain,NoEvent,62
8,Wednesday,Clear,Festival,62
11,Sunday,Clear,Sports,72
19,Tuesday,Clear,Festival,73
23,Thursday,Cloudy,NoEvent,56
6,Monday,Rain,NoEvent,56
5,Saturday,Cloudy,Sports,85
16,Tuesday,Cloudy,Concert,51
1,Wednesday,Rain,Concert,40
23,Sunday,Rain,Concert,79
5,Wednesday,Clear,Sports,70
16,Wednesday,Clear,NoEvent,68
19,Saturday,Rain,Sports,95
7,Wednesday,Clear,Festival,59
14,Saturday,Rain,NoEvent,63
18,Friday,Rain,NoEvent,80
18,Wednesday,Rain,Concert,74
14,Tuesday,Rain,Sports,53
16,Tuesday,Clear,NoEvent,68
10,Tuesday,Cloudy,Festival,60
2,Tuesday,Rain,NoEvent,51
5,Thursday,Rain,NoEvent,49
7,Friday,Rain,Sports,40
23,Friday,Clear,Concert,68
11,Saturday,Rain,NoEvent,61
6,Thursday,Cloudy,Festival,50
6,Tuesday,Clear,NoEvent,54
22,Wednesday,Rain,NoEvent,58
10,Wednesday,Clear,Sports,68
10,Monday,Cloudy,Concert,65
18,Sunday,Clear,NoEvent,97
14,Saturday,Clear,Festival,80
18,Friday,Clear,NoEvent,82
2,Tuesday,Clear,Festival,58
7,Friday,Rain,Festival,56
1,Monday,Clear,NoEvent,59
14,Friday,Clear,NoEvent,56
12,Thursday,Cloudy,NoEvent,64
15,Monday,Rain,Sports,56
4,Friday,Cloudy,Sports,57
23,Saturday,Rain,Sports,63
19,Sunday,Clear,NoEvent,100
10,Friday,Rain,Sports,43
6,Thursday,Clear,Concert,65
8,Sunday,Rain,Festival,77
7,Monday,Clear,NoEvent,60
23,Wednesday,Clear,Sports,70
16,Sunday,Clear,Sports,85
13,Sunday,Cloudy,Concert,80
4,Tuesday,Clear,NoEvent,65
20,Wednesday,Cloudy,Festival,71
7,Saturday,Cloudy,NoEvent,84
12,Sunday,Cloudy,NoEvent,74
20,Thursday,Rain,Concert,66
20,Saturday,Cloudy,Sports,100
7,Wednesday,Cloudy,Sports,56
15,Sunday,Cloudy,Sports,86
1,Saturday,Rain,Concert,61
4,Tuesday,Cloudy,Sports,65
7,Wednesday,Cloudy,Festival,53
16,Monday,Cloudy,Festival,62
18,Monday,Clear,NoEvent,78
18,Sunday,Clear,Concert,100
14,Tuesday,Clear,Festival,53
6,Friday,Rain,Sports,50
7,Monday,Rain,Concert,58
17,Monday,Rain,Festival,74
9,Thursday,Rain,Sports,44
19,Wednesday,Rain,NoEvent,73
13,Saturday,Cloudy,Festival,88
10,Tuesday,Rain,NoEvent,52
10,Tuesday,Cloudy,Sports,58
0,Saturday,Clear,Concert,80
19,Sunday,Clear,Concert,100
22,Saturday,Rain,Sports,77
1,Saturday,Cloudy,Sports,78
4,Thursday,Clear,Concert,58
18,Friday,Cloudy,Festival,79
1,Saturday,Rain,Festival,78
0,Monday,Cloudy,Sports,61
20,Saturday,Clear,Festival,100
19,Friday,Clear,Festival,76
4,Wednesday,Clear,Sports,53
15,Friday,Clear,NoEvent,67
18,Saturday,Rain,Sports,98
19,Monday,Clear,Festival,75
19,Sunday,Clear,Sports,100
4,Wednesday,Clear,NoEvent,53
11,Sunday,Clear,NoEvent,74
2,Tuesday,Rain,Sports,48
9,Tuesday,Rain,Festival,52
15,Saturday,Cloudy,Concert,81
5,Friday,Rain,Concert,51
16,Saturday,Clear,Sports,84
18,Tuesday,Clear,NoEvent,70
21,Monday,Rain,Sports,67
15,Tuesday,Rain,Concert,52
5,Tuesday,Clear,Concert,67
1,Sunday,Cloudy,Festival,79
8,Friday,Rain,Concert,53
22,Friday,Cloudy,Festival,59
15,Tuesday,Clear,NoEvent,61
22,Tuesday,Clear,NoEvent,53
7,Friday,Cloudy,Concert,59
9,Wednesday,Rain,Festival,46
3,Friday,Rain,Festival,47
20,Saturday,Cloudy,NoEvent,100
21,Monday,Rain,Sports,75
15,Tuesday,Cloudy,Sports,50
9,Friday,Rain,Festival,59
2,Friday,Rain,Concert,44
7,Friday,Rain,Festival,54
1,Tuesday,Cloudy,NoEvent,57
6,Thursday,Cloudy,Sports,50
20,Friday,Cloudy,Concert,74
2,Saturday,Clear,Sports,76
21,Thursday,Clear,Sports,84
9,Monday,Rain,Sports,45
3,Sunday,Clear,Sports,74
11,Wednesday,Rain,Concert,41
17,Saturday,Rain,Sports,95
21,Tuesday,Rain,Concert,76
1,Saturday,Rain,Sports,65
2,Thursday,Cloudy,Sports,57
18,Saturday,Rain,Concert,95
6,Saturday,Rain,Sports,69
9,Tuesday,Rain,Concert,58
17,Sunday,Rain,Concert,93
15,Thursday,Rain,Concert,44
3,Sunday,Rain,Sports,80
8,Tuesday,Clear,Sports,68
11,Saturday,Rain,Concert,68
15,Thursday,Cloudy,Sports,67
4,Saturday,Rain,Festival,80
1,Saturday,Cloudy,NoEvent,75
4,Wednesday,Cloudy,Concert,68
13,Thursday,Cloudy,NoEvent,70
14,Thursday,Rain,Concert,50
16,Wednesday,Cloudy,Festival,57
23,Wednesday,Clear,Sports,55
12,Saturday,Clear,Festival,79
3,Saturday,Clear,NoEvent,89
22,Tuesday,Cloudy,NoEvent,61
23,Friday,Cloudy,Festival,69
14,Friday,Clear,Sports,51
6,Sunday,Rain,Concert,64
22,Thursday,Clear,NoEvent,67
2,Wednesday,Clear,Sports,50
16,Thursday,Rain,Concert,49
9,Friday,Cloudy,Festival,52
15,Saturday,Rain,Sports,69
6,Monday,Clear,NoEvent,64
22,Thursday,Rain,Festival,45
2,Monday,Rain,Festival,48
1,Monday,Cloudy,Festival,51
10,Tuesday,Cloudy,NoEvent,59
16,Thursday,Clear,NoEvent,64
14,Tuesday,Clear,Sports,52
15,Tuesday,Rain,NoEvent,58
9,Saturday,Rain,Festival,70
7,Sunday,Rain,NoEvent,76
19,Saturday,Cloudy,Sports,100
9,Wednesday,Rain,NoEvent,41
12,Thursday,Clear,Festival,67
1,Friday,Clear,NoEvent,70
22,Monday,Rain,NoEvent,44
10,Wednesday,Rain,NoEvent,52
14,Monday,Clear,Sports,61
20,Sunday,Clear,Sports,100
7,Sunday,Cloudy,NoEvent,78
23,Wednesday,Clear,Festival,69
4,Thursday,Rain,Sports,43
20,Tuesday,Rain,Sports,70
10,Monday,Cloudy,Festival,65
3,Friday,Clear,Festival,59
15,Monday,Rain,Sports,59
19,Saturday,Rain,Festival,96
13,Friday,Rain,NoEvent,57
15,Monday,Cloudy,NoEvent,56
8,Wednesday,Cloudy,Sports,57
15,Sunday,Rain,NoEvent,62
20,Sunday,Rain,Festival,85
20,Monday,Rain,NoEvent,62
18,Sunday,Rain,NoEvent,99
19,Tuesday,Cloudy,NoEvent,82
6,Friday,Rain,Sports,40
0,Tuesday,Rain,Concert,51
21,Monday,Clear,NoEvent,76
7,Sunday,Rain,Sports,67
0,Friday,Clear,Festival,52
14,Friday,Cloudy,Sports,59
20,Saturday,Cloudy,Festival,99
18,Tuesday,Rain,Concert,68
21,Friday,Clear,Concert,72
14,Sunday,Cloudy,Sports,70
16,Saturday,Rain,Festival,80
9,Wednesday,Clear,NoEvent,69
11,Sunday,Clear,Sports,90
2,Saturday,Rain,NoEvent,63
12,Sunday,Cloudy,Concert,70
3,Wednesday,Cloudy,Concert,62
22,Friday,Cloudy,Festival,51
11,Tuesday,Rain,NoEvent,54
8,Friday,Rain,Festival,44
22,Sunday,Cloudy,Sports,88
18,Tuesday,Clear,Concert,89
2,Sunday,Clear,Festival,87
19,Sunday,Cloudy,Festival,100
10,Tuesday,Clear,Festival,61
22,Monday,Cloudy,NoEvent,56
18,Thursday,Rain,NoEvent,76
10,Sunday,Clear,Festival,89
0,Thursday,Clear,NoEvent,55
6,Thursday,Clear,Concert,59
1,Tuesday,Cloudy,Sports,64
1,Tuesday,Rain,Concert,58
0,Tuesday,Cloudy,Sports,52
7,Thursday,Cloudy,Concert,63
12,Monday,Clear,Festival,59
6,Thursday,Cloudy,Concert,59
18,Wednesday,Cloudy,Festival,87
5,Sunday,Clear,Concert,79
8,Saturday,Rain,Concert,68
14,Tuesday,Clear,Festival,55
19,Monday,Rain,Festival,64
3,Sunday,Rain,Festival,74
2,Thursday,Cloudy,NoEvent,54
11,Thursday,Rain,NoEvent,60
0,Thursday,Rain,NoEvent,54
4,Saturday,Clear,NoEvent,86
0,Wednesday,Cloudy,Sports,70
19,Monday,Clear,Concert,73
14,Thursday,Clear,Festival,68
9,Saturday,Clear,Festival,85
13,Monday,Clear,Sports,66
1,Wednesday,Cloudy,Concert,56
23,Saturday,Cloudy,Concert,71
16,Saturday,Clear,Festival,71
10,Wednesday,Clear,Concert,70
17,Tuesday,Clear,NoEvent,70
14,Saturday,Cloudy,Festival,76
21,Friday,Cloudy,Concert,71
21,Wednesday,Rain,Festival,75
17,Friday,Cloudy,Sports,76
9,Thursday,Rain,Concert,44
10,Sunday,Cloudy,Festival,71
11,Saturday,Rain,NoEvent,65
8,Tuesday,Clear,Sports,53
10,Sunday,Clear,Concert,74
16,Sunday,Cloudy,NoEvent,74
10,Thursday,Rain,Sports,43
23,Sunday,Clear,Festival,90
4,Saturday,Cloudy,Sports,71
11,Monday,Cloudy,Sports,58
13,Monday,Clear,Concert,51
4,Friday,Clear,Festival,60
15,Tuesday,Cloudy,Sports,69
15,Wednesday,Cloudy,Sports,63
10,Friday,Cloudy,NoEvent,67
22,Friday,Cloudy,Festival,62
7,Saturday,Clear,Concert,82
0,Monday,Cloudy,Festival,65
14,Wednesday,Rain,Festival,53
9,Monday,Clear,Festival,60
4,Monday,Rain,NoEvent,59
19,Tuesday,Rain,Sports,71
1,Saturday,Clear,Sports,87
16,Thursday,Rain,Sports,59
15,Thursday,Rain,Festival,58
13,Friday,Clear,Sports,67
22,Tuesday,Rain,NoEvent,45
17,Wednesday,Rain,Sports,75
0,Friday,Rain,NoEvent,49
19,Monday,Rain,Concert,75
1,Wednesday,Rain,Sports,48
21,Saturday,Rain,Sports,93
9,Wednesday,Clear,Sports,62
17,Monday,Clear,Sports,84
15,Saturday,Clear,Festival,90
19,Sunday,Rain,Sports,94
1,Thursday,Clear,NoEvent,52
18,Monday,Cloudy,Sports,72
10,Friday,Clear,Sports,66
3,Thursday,Cloudy,NoEvent,52
18,Friday,Rain,Festival,61
10,Saturday,Clear,NoEvent,74
1,Saturday,Cloudy,Sports,81
0,Sunday,Cloudy,Festival,76
7,Thursday,Clear,NoEvent,60
18,Tuesday,Cloudy,NoEvent,90
12,Saturday,Cloudy,NoEvent,73
23,Wednesday,Rain,Sports,58
17,Monday,Rain,Concert,77
16,Friday,Clear,NoEvent,53
21,Monday,Cloudy,Festival,84
2,Sunday,Rain,Sports,69
14,Monday,Clear,Concert,57
19,Thursday,Cloudy,Festival,89
23,Tuesday,Clear,Concert,58
14,Sunday,Cloudy,Festival,80
17,Friday,Cloudy,NoEvent,77
1,Monday,Rain,Festival,47
15,Friday,Clear,Sports,56
11,Sunday,Cloudy,Concert,73
0,Friday,Cloudy,Festival,62
3,Thursday,Cloudy,Concert,64
0,Thursday,Cloudy,NoEvent,65
11,Wednesday,Rain,Sports,43
16,Thursday,Rain,Sports,42
2,Wednesday,Rain,Sports,52
5,Wednesday,Clear,NoEvent,68
9,Saturday,Cloudy,Sports,80
5,Saturday,Rain,Sports,63
10,Monday,Clear,NoEvent,66
0,Saturday,Cloudy,Concert,82
14,Friday,Cloudy,Festival,53
13,Wednesday,Rain,Festival,42
6,Tuesday,Clear,NoEvent,58
15,Saturday,Cloudy,Concert,83
7,Thursday,Rain,Festival,60
16,Sunday,Cloudy,Concert,73
8,Saturday,Rain,Concert,65
17,Monday,Clear,Festival,82
3,Friday,Cloudy,Festival,70
21,Monday,Clear,NoEvent,90
6,Saturday,Rain,Concert,72
2,Saturday,Rain,Concert,68
1,Sunday,Cloudy,Festival,84
2,Wednesday,Cloudy,Festival,59
0,Sunday,Rain,NoEvent,75
9,Monday,Clear,Concert,62
18,Friday,Cloudy,Concert,79
17,Tuesday,Cloudy,Festival,85
0,Thursday,Rain,Sports,51
6,Thursday,Rain,Sports,56
18,Saturday,Clear,Festival,100
22,Saturday,Rain,NoEvent,64
7,Sunday,Rain,NoEvent,61
8,Thursday,Rain,Sports,48
13,Wednesday,Cloudy,NoEvent,56
17,Monday,Cloudy,Festival,83
4,Tuesday,Clear,NoEvent,50
14,Thursday,Clear,Concert,56
15,Sunday,Rain,Concert,67
18,Friday,Clear,Concert,77
18,Sunday,Rain,Sports,88
5,Friday,Cloudy,Concert,54
10,Monday,Cloudy,Concert,63
15,Thursday,Clear,NoEvent,55
0,Saturday,Rain,Festival,72
11,Wednesday,Rain,Concert,41
10,Wednesday,Clear,Concert,55
1,Tuesday,Rain,Sports,49
15,Monday,Clear,Sports,56
22,Friday,Rain,Concert,50
8,Monday,Cloudy,Sports,51
13,Friday,Clear,NoEvent,68
18,Monday,Clear,Festival,87
15,Thursday,Cloudy,Festival,68
4,Saturday,Cloudy,Festival,90
20,Thursday,Rain,Festival,80
16,Thursday,Rain,Festival,60
16,Friday,Rain,Concert,57
17,Monday,Clear,NoEvent,90
21,Saturday,Clear,Sports,94
21,Tuesday,Clear,Concert,73
2,Thursday,Clear,NoEvent,57
3,Tuesday,Cloudy,Festival,54
20,Saturday,Rain,Festival,100
14,Thursday,Cloudy,NoEvent,69
4,Tuesday,Rain,NoEvent,46
6,Saturday,Rain,Festival,67
15,Friday,Cloudy,Concert,59
19,Thursday,Rain,Concert,73
2,Sunday,Rain,Festival,66
22,Sunday,Rain,Sports,68
1,Monday,Cloudy,Festival,55
7,Tuesday,Rain,Festival,45
16,Friday,Clear,Concert,53
0,Tuesday,Cloudy,Festival,54
14,Thursday,Rain,Concert,46
7,Thursday,Cloudy,Concert,67
14,Saturday,Rain,Concert,68
3,Saturday,Clear,Sports,78
10,Sunday,Clear,NoEvent,75
9,Thursday,Clear,Sports,51
18,Saturday,Rain,Sports,89
17,Monday,Rain,Festival,73
23,Saturday,Cloudy,Sports,81
